name,latitude,longitude,locality,country_code
Cap Sim,31.38571,-9.83135,Ouassane,ma
Desert Point,29.77887,-9.8633,Aglou,ma
Devil's Rock,30.50652,-9.68667,Tamraght,ma
Dracula's,30.62378,-9.86138,Tigert,ma
El Jadida,33.24863,-8.49589,El Jadida,ma
Essaouira,31.49812,-9.76374,Essaouira,ma
Hash Point,30.544656,-9.7103,Taghazout,ma
Imsouane,30.83789,-9.82175,Imsouane,ma
Killer Point,30.55158,-9.73837,Azazoul,ma
La Source,30.54855,-9.7304,Taghazout,ma
Legzira,29.44662,-10.1166,Legzira,ma
Mirleft,29.5921,-10.0385,Mirleft,ma
Oualidia,32.74145,-9.03913,Oualidia,ma
Sidi Bouzid,33.23004,-8.55398,Sidi Bouzid,ma
Sidi Ifni,29.38315,-10.17643,Sidi Ifni,ma
Sidi Kaouki,31.35353,-9.79822,Essaouira,ma
Sidi Moussa d'Aglou,29.80937,-9.83073,Aglou,ma
Sidi R'bat,30.08811,-9.66726,Sidi Rabat,ma
Spiders,30.50321,-9.6846,Tamraght,ma
Tafedna,31.09642,-9.82303,Tafedna,ma
Taghazout,30.54293,-9.70782,Taghazout,ma
Tamri,30.71068,-9.85832,Tigert,ma
Tifnit,30.2025,-9.64219,Tifnit,ma
Aramoana,-45.77623,170.71079,Aramoana,nz
Blaketown Wedge,-42.44216,171.19296,Greymouth,nz
Bogan River,-36.8271,174.4252,Muriwai Beach,nz
Cobden,-42.43883,171.19542,Greymouth,nz
Fitzroy Beach,-39.04537,174.09767,New Plymouth,nz
Haast Beach,-43.866,168.9924,Haast Beach,nz
Hickory Bay,-43.77562,173.10799,Le Bons Bay,nz
Little Wanganui,-41.39073,172.05814,Little Wanganui,nz
Mangamanu,-42.32086,173.74854,Kaikōura District,nz
Motunau Beach Island,-43.06343,173.07895,Motunau Beach,nz
Mount Maunganui,-37.63954,176.1912,Tauranga,nz
Oakura Beach,-39.1105,173.95576,Oakura,nz
Piha,-36.95188,174.46602,Waitakere Ranges,nz
Raglan,-37.82124,174.82488,Waikato District,nz
Shipwreck Bay,-35.1714,173.1098,Northland,nz
Stent Road,-39.22005,173.77849,South Taranaki District,nz
Stoney Beach,-43.69349,173.06144,Okains Bay,nz
Taronui Bay,-35.12318,173.98449,Bay of Islands-Whangaroa Community,nz
The Island,-38.70663,178.049567,Gisborne,nz
Wainui Beach,-38.68414,178.07623,Gisborne,nz
Westport Breakwater,-41.72955,171.58646,Westport,nz
